order_id,product,rating,amount,date,review
190897,حياة ريجنسى مكة,4,غرفة بحجم كينغ أو توأمية مع منظر,أقمت 3 ليالي,“فندق جميل يحتاج بعض التعديلات”. قرب الموقع من الحرم ، لولا وجود شارع رئيسى امام الفندق ، كذلك الافطار جيد جدا. الذي لم يعجبني ان مساحة الغرفة ليست كما تم الاتفاق عليه ، اصغر مما توقعت ، كذلك الحمام  جيد لكن  موقع البديه ضيق نوعا ما ، كذلك سعر المطعم البوفيه 190 ريال للشخص الواحد عالية جدا
357437,فندق سوفيتل الخبرالكورنيش,4,غرفة سوبيريور بسرير واحد بحجم كوين مطلة على المدينة,أقمت ليلة واحدة,“مريحه نوعا ما”. اعجبني حجم الغرفه والنظافه. عدم مصداقية طاقم الاستقبال وصلت وقال لي الموظف بعد نص ساعه جاهزه الغرفه وانتظرت اكثر من ساعه ونصف وفي كل مره يقول بعد خمس دقائق
344618,ساندراس ان,5,غرفة مفردة,أقمت 3 ليالي,استثنائي. الاستاذ سعيد المصري .. صراحة من افضل الناس اللي قابلتهم في حيآتي..نظافة الفندق .. موقعه .. كمان فيه كل شيء .. اللي بيحب السهرات بيلقى شيء يعجبه اكيد .. تسجيل الدخول والخروج من اسهل م يكون. ولا شيء ..
275105,نوفوتيل الفجيرة,4,غرفة قياسية مع سريرين مفردين,أقمت ليلة واحدة,جيد جداً. هدوء الفندقوالقيمة مناسبه للكل. خدمة الواي فأي ضيعفهرائحة الزل في الغرفالثلاجة حارة
412009,زوار انترناشيونال,2,-,أقمت 4 ليالي,مخيب للأمل. التكييف في الغرفةاسرة الغرف. صور غرف الفندق غير الواقعالتاخير في خدمة الغرفالتاخير في تعامل الاستقبالغلاء مطعم الفندقسوء نظافة فرش الغرفةضيق مساحة الغرفة
30615,فندق شاطئ الراحة,5,غرفة ديلوكس كينغ مطلة على الخليج,أقمت ليلة واحدة,ممتاز. الاستقبال ممتاز المطعم جيد النظافة ممتازة. تاخير في استلام الغرفة رمال شاطىء البحر بها احجار صغيرة وغير ممهدة جيدا
148424,فورتشن غراند للشقق الفندقية,2,شقة من غرفة نوم واحدة,أقمت 3 ليالي,مخيب للأمل. WIFI ممتاز في الغرفة. الغرفة متشربة رائحة دخانالصور المرفقة لا تعكس الواقعالصورة الخارجية للفندق توحي بان الفندق يقع في منطقة مفتوحة ولكن للاسف الفندق بين عدة بنايات.
52531,أتلانتس النخلة، دبي,5,-,أقمت ليلتين,ممتاز. توفرخيارات كثيره سوا في المطاعم او الكفيهاتتنوع الشواطي والالعاب المائيه  سووا للكبار او الصغار. ارتفاع الاسعار
342430,سديم للشقق الفندقية,1,شقة من غرفة نوم واحدة,أقمت ليلة واحدة,ضعيف جداً. . لا يوجد سوى مصعد واحد فقط و سيئ النوع
299705,فندق والدرف أستوريا جدة - قصر الشرق,5,غرفة قصر كينغ,أقمت ليلتين,“اقامه بمعنى الفخامه”. كل شي مميز. لاشي
91340,الخوري للشقق الفندقية,4,-,أقمت 4 ليالي,“جيده جداً”. . حجز مبلغ من الفيزا قبل موعد الوصول با ايام
32701,فندق السراب,2,غرفة قياسية مزدوجة,أقمت 3 ليالي,ضعيف. . يوجد حشرات بالغرفة وخاصة على السرير
186991,حياة بليس دبي الرقة,2,غرفة قياسية مزدوجة أو توأمية مع سرير أريكة.,أقمت ليلتين,“اقامة عملية”. حجم الغرفة مناسب. عدم وجود موقف للسيارة
173019,هيلي ريحان باي روتانا,5,جناح كلاسيكي من غرفة نوم واحدة,أقمت ليلة واحدة,“اكبر من روعه يستحق اعادة الزيارة”. كل شي. لا شي سوا الواي فأي مدفوع وليسى مجاني و ارتفاع أسعار المطعم بعض الشي
72195,بيوتات حراء للأجنحة الفندقية,4,شقة من غرفة نوم واحدة,أقمت 4 ليالي,“سأعيد التجربة الرائعة”. الموقع ممتازوالخدمات قريبةوالعاملين ودوديين. 
19446,فندق المدينة هارموني,4,غرفة قياسية مزدوجة,أقمت ليلتين,“الفندق جيد”. الاستقبال الفطور جيد الموقع حسن التعامل. صغر الغرف والأفطاريحتاج تنوع اكثر
135483,فندق إيلاف بكة,2,-,أقمت ليلة واحدة,“اقامه اكثر من سيئه”. لاشيء. ازعاج الاطفال في الممرات ، الافطار غيرمتنوع واصناف قليله جدا والنكهات سيئه والملح زايد ، خدمة الغرف سيئين في طريقة ردهم على النزلاء ، الممرات والمصعد متسخه واللوبي مليء بالذباب
110629,فندق أبراج الصفوة – دار الغفران,4,غرفة سوبيريور مزدوجة,أقمت ليلتين,“افضل مافيه الموقع”. قريب من الحرم. الخدمات داخل الغرفة لا توحي بفندق خمس نجوم..
107131,دانات منتجع العين,1,غرفة Hafeet قياسية كينغ,أقمت ليلة واحدة,ضعيف جداً. . التأخير في جلب السياره ...احيان لا تجد عمال الاستقبال ...  رائحت الغرفه كريهه
63394,بلاتينيوم للأجنحة الفندقية,4,-,أقمت ليلة واحدة,جيد جداً. . فقط الأسعار .
22058,أجنحة المجيدي آراك,1,-,أقمت 4 ليالي,ضعيف جداً. . استقبال غير لأق
54600,أوريس ميترو سنترال للشقق الفندقية,5,-,أقمت ليلة واحدة,استثنائي. موقع الفندق بالقرب من محطة الميترو و حسن الإستقبال من موظفي الفندق. 
112305,دار الهجرة إنتركونتيننتال,2,غرفة قياسية,أقمت 3 ليالي,"“اسوء فندق شفته في حياتي (مع الاسف هذا اسوء فندق شفته في حياتي)انا لااعطيه اكثر من نجمتين وليس 5 نجوم”. مكان الفندق جيد بالنسبه لقربه من الحرم.الفطور كان جيدا. هناك عمل صيانة لتبيدل حمامات الفندق . صوت الحفر والطقطقة لا تحتمل. طاقم الفندق لا يعرف شيئا عن كوستمر سيرفز. المناشف مستهلكة وقديمة ولاكنها نظيفة للامانة .الفندق مصنف على انه 5 نجوم,بتجربتي انا لا اعطيه اكثر من نجمتين."
304619,فندق راديسون بلو، ينبع,1,غرفة درجة رجال الأعمال.,أقمت ليلة واحدة,“من أسوء الفنادق على الإطلاق”. لاشيء. كل شيء
8241,البرشاء للشقق الفندقية,4,شقة من غرفة نوم واحدة,أقمت ليلة واحدة,جيد. سعر الفندق معقول في منطقة البرشا. لاشئ
269471,فندق نوازي وثير,2,غرفة ثلاثية,أقمت 3 ليالي,ضعيف. الفندق جديد والفطار جيد المستوى والموقع مقبول. يفتقر الإداره وغير مهيأة للعمل في الفنادق لايوجد عمال مستوى الخدمه وتنظيف الغرف سيئ جدا موظف الإستقبال في غاية السوء لا يصلح لهذا المكان ابدا لو يخبرنا الفندق ان ماء زمزم ممنوع شراؤه مع العلم ان الخبر معمم على كل الفنادق والفندق غير مهتم براحة النزلاء موقعه غير مناسب مع كبار السن اوالأطفال
98924,فندق كراون بالاس,1,جناح من غرفة نوم واحدة,أقمت 3 ليالي,ضعيف جداً. لاشي. لاشي
